שאלה שְׁאֵלָה 
דימום דִּמּוּם 
מהאף אַף 
ומהחניכיים חֲנִיכַיִם 
בהריון הֵרָיוֹן 

בהריון הֵרָיוֹן 
בשבוע שָׁבוּעַ 
הריון הֵרָיוֹן 

מתחילת תְּחִלָּה 
ההריון הֵרָיוֹן 
סובלת סָבַל 
מדימום דִּמּוּם 
החניכיים חֲנִיכַיִם 
הולך הָלַךְ הוֹלִיךְ 
ומתגבר הִתְגּבֵּר תִּגְבֵּר 
ולאחרונה לָאַחֲרוֹנָה 
התווסף הִתְוַסֵּף 
דימום דִּמּוּם 
מהאף אַף 

בבדיקות בְּדִיקָה 
דם דם 
והעמסת הַעֲמָסָה 
סוכר סֻכָּר 
שביצעתי בִּצֵּעַ 
כחודש חֹדֶשׁ 
עלו עָלָה 
התוצאות תּוֹצָאָה 
החריגות חָרִיג 
הבאות בָּא 

RBC RBC 
Hemoglobin Hemoglobin 
Hematocrit Hematocrit 
Neutrophils Neutrophils 
Lymphocytes Lymphocytes 
Neutrophils Neutrophils 

מקום מָקוֹם 
לדאגה דְּאָגָה 

EXPERT EXPERT 

מעט מְעַט 
נמוך נָמוּךְ 
להיות היות 
ובהתאם בהתאם 
גם גַּם 
כמות מָוֶת 
תאי תָּא 
הדם דם 
האדומים אֱדוֹמִי אָדֹם 
RBC RBC 
להיות היות 
הסיבה סִבָּה 
הסבירה הִסְבִּיר 
ביותר בְּיוֹתֵר 
חסר חָסֵר 
ברזל ברזל 
שנובע נוֹבֵעַ 
גם גַּם 
מהדימומים דִּמּוּם 
הבלתי בִּלְתִּי 
פוסקים פָּסַק 
מתארת תֵּאֵר 
וגם גַּם 
מהעובדה עֻבְדָּה 
בהריון הֵרָיוֹן 

ליטול נָטַל 
כדורי כַּדּוּר 
ברזל ברזל 
דבר דֶּבֶר דָּבָר 
שאת שְׂאֵת 
וודאי וַדָּאִי 
כבר כְּבָר 
עושה עָשָׂה 

ספירת סְפִירָה 
תאי תָּא 
הדם דם 
הלבנים לָבָן 
קצת קְצָת 
גבוהה גָּבוֹהַּ 

תוצאות תּוֹצָאָה 
העמסת הַעֲמָסָה 
הסוכר סֻכָּר 
כתבת כַּתָּב כַּתָּבָה 

לברר בֵּרֵר 
הרופא רוֹפֵא 
המטפל טִפֵּל 
סיבת סִבָּה 
הדימום דִּמּוּם 

הריון הֵרָיוֹן 
מצב מַצָּב 
שבו יָשַׁב שָׁב שָׁבָה 
הנטיה נְטִיָּה 
עולה עוֹלֶה עוֹלָה 
הנטייה נְטִיָּה 
לדמם דִּמֵּם 

לעבור עָבַר 
בדיקת בְּדִיקָה 
תפקודי תִּפְקוּד 
קרישה קרישה 
ובדיקות בְּדִיקָה 
נוספות נוֹסָף 
להתייעץ הִתְיַעֵץ 
הרופא רוֹפֵא 
המטפל טִפֵּל 

בנוסף בנוסף 
לקחת לָקַח 
ברזל ברזל 
עדיין עֲדַיִן 
עושה עָשָׂה 



EXPERT EXPERT 

