שאלה שְׁאֵלָה 
תוצאות תּוֹצָאָה 
בדיקות בְּדִיקָה 
דם דם 
ומשמעותן מַשְׁמָעוּת 

להלן לְהַלָּן 
הערכים ערך 
החריגים חָרִיג 
בתוצאות תּוֹצָאָה 
בדיקות בְּדִיקָה 
דם דם 
שערכתי עָרַךְ 
PT PT 
% % 
% % 
כשהערכים ערך 
המקובלים מְקֻבָּל 
PT PT 
INR INR 
תקין תַּקִּין 

LDH LDH 
שהערכים ערך 
המקובלים מְקֻבָּל 
BILIRUBIN BILIRUBIN 
כשהערכים ערך 
המקובלים מְקֻבָּל 
ALBUMIN ALBUMIN 
כשהערכים ערך 
המק מק 

EXPERT EXPERT 
תפקודי תִּפְקוּד 
הקרישה קרישה 
PT PT 
ופרופיל פרופיל 
הכולסטרול כּוֹלֶסְטֶרוֹל 
תקינים תַּקִּין 

רמה רָמָה 
מעט מְעַט 
נמוכה נָמוּךְ 
ורמה רָמָה 
נמוכה נָמוּךְ 
C3 C3 
להעיד הֵעִיד 
מחלה מַחֲלָה 
דלקתית דלקתי 

צורך צֹרֶךְ 
באינפורמציה אינפורמציה 
נוספת נוֹסָף 
בדיקת בְּדִיקָה 
שקיעת שְׁקִיעָה 
דם דם 
ורמת רָמָה 
חלבון חֶלְבּוֹן 
מגיב הֵגִיב 
C C 
CRP CRP 

לייעוץ יִעוּץ 
חינם חִנָּם 
ניתוחי נִיתּוחַ 
עפעפיים עַפְעַף 
לחצו לָחַץ 
gt;&gt;&gt gt;&gt;&gt 

EXPERT EXPERT 

