שאלה שְׁאֵלָה 
כיצד כיצד 
מאבחנים אִבְחֵן 
בקע בֶּקַע 
בדיסקוס דִּיסְקוּס 

כיצד כיצד 
מאבחנים אִבְחֵן 
בקע בֶּקַע 
בדיסקוס דִּיסְקוּס 

EXPERT EXPERT 
רופא רוֹפֵא 
ברוב רֹב 
המקרים מִקְרֶה מֵקַר 
לאבחן אִבְחֵן 
בקע בֶּקַע 
בדיסקוס דִּיסְקוּס 
התסמינים תסמין 
ותוצאות תּוֹצָאָה 
הבדיקה בְּדִיקָה 
הרפואית רְפוּאִי 

רופאכם רוֹפֵא 
ישאל נִשְׁאַל שָׁאַל 
הכאב כְּאֵב 
וחוסר חֹסֶר 
התחושה תְּחוּשָׁה 
להיגרם נִגְרַם 
ידי יָד 
גירוי גֵּרוּי 
יותר יוֹתֵר 
העצבים עֶצֶב עָצָב 
שבעמוד עַמּוּד 
השדרה שִׁדְרָה שְׂדֵרָה 

תסמיניכם תסמין 
מורים מוֹרֶה 
בקע בֶּקַע 
בדיסקוס דִּיסְקוּס 
צווארי צַוָּאר 
יומלץ הֻמְלַץ 
מנוחה מְנוּחָה 
ושיקום שִׁקּוּם 
שיבוצעו בֻּצַּע 
בדיקות בְּדִיקָה 
נוספות נוֹסָף 

חשד חֲשָׁד 
קיום קִיּוּם 
מצבים מַצָּב 
אחרים אַחֵר 
שיפור שִׁפּוּר 
במצב מַצָּב 
תקופת תְּקוּפָה 
מנוחה מְנוּחָה 
ושיקום שִׁקּוּם 
שיבוצעו בֻּצַּע 
בדיקות בְּדִיקָה 
הדמיה הדמיה 
MRI MRI 
סריקה סריקה 
מגנטית מַגְנֵטִי 
CT CT 
ממוחשבת ממוחשב 

EXPERT EXPERT 

