שאלה שְׁאֵלָה 
תוצאות תּוֹצָאָה 
בדיקת בְּדִיקָה 
ALT ALT 
המלמדות לִמֵּד 
נזק נזק 
לכבד כִּבֵּד 
חולה חוֹלֶה 

חולה חָלָה 
במחלה מַחֲלָה 
המעיים מְעִי 
ומשתמש הִשְׁתַּמֵּשׁ 

לשנה שָׁנָה 
מבצע בִּצֵּעַ 
בדיקות בְּדִיקָה 
דם דם 
כלליות כְּלָלִי 
הכוללות כָּלַל 
תפקודי תִּפְקוּד 
כבד כָּבֵד 

בבדיקה בְּדִיקָה 
האחרונה אַחֲרוֹן 
הערך ערך 
של נָשַׁל 
ALT ALT 
גבוה גָּבוֹהַּ 
מהנורמה נורמה 
והערך ערך 
של נָשַׁל 
AST AST 
בתחום תְּחוּם 
הנורמה נורמה 

שאר שְׁאֵר 
הבדיקות בְּדִיקָה 
תקינות תַּקִּין 

הבנתי הֲבָנָה 
ALT ALT 
מצביע הִצְבִּיעַ 
רמת רָמָה 
שומנים שֻׁמָּן 
בכבד כָּבֵד 

מקום מָקוֹם 
לדאוג דָּאַג 

EXPERT EXPERT 
ALT ALT 
אנזים אנזים 
הקיים קַיָּם 
בתאי תָּא 
הכבד כָּבֵד 
ורמות רָמָה 
גבוהות גָּבוֹהַּ 
מעידות הֵעִיד 
נזק נזק 
לתאי תָּא 
הכבד כָּבֵד 
דליפה דְּלִיפָה 
האנזים אנזים 
זרם זרם 
הדם דם 

מחלות מַחֲלָה 
דלקתיות דלקתי 
המעי מְעִי 
IBD IBD 
Inflammatory Inflammatory 
Bowel Bowel 
Disease Disease 
כוללת כָּלַל 
בעיקר בעיקר 
מחלת מַחֲלָה 
ודלקת דְּלֵקָה דַּלֶּקֶת 
כיבית כִּבָּה 
המעי מְעִי 
הגס גַּס 
ulcerative ulcerative 
colitis colitis 

סיבוכים סִבּוּךְ 
מחלות מַחֲלָה 
המתבטאים הִתְבּטֵּא 
בכבד כָּבֵד 
כוללים כָּלַל 
כבד כָּבֵד 
שומני שומני 
הקיים קַיָּם 
בכמחצית מַחֲצִית 
מחולי חֹלִי 
IBD IBD 
מחלה מַחֲלָה 
קשה קָשֶׁה 
תת תַּת 
ספיגה סְפִיגָה 
וטיפול טִפּוּל 
בסטרואידים סְטֶרוֹאִיד 

אבנים אֶבֶן אָבְנַיִם 
בדרכי דֶּרֶךְ 
המרה הֲמָרָה מרה 
מחולי חֹלִי 
מחלת מַחֲלָה 
תת תַּת 
ספיגה סְפִיגָה 
מלחי מֶלַח מַלָּח 
מרה מרה 

Primary Primary 
sclerosing sclerosing 
cholangitis cholangitis 
מחלה מַחֲלָה 
דרכי דֶּרֶךְ 
המרה הֲמָרָה מרה 
המאובחנת אֻבְחַן 
במיעוט מִעוּט 
חולי חֹלִי 
IBD IBD 
בעיקר בעיקר 
בלוקים בלוק 
בדלקת דְּלֵקָה דַּלֶּקֶת הַדְלָקָה 
כיבית כִּבָּה 
המעי מְעִי 
הגס גַּס 

המחלות מַחֲלָה 
האחרונות אַחֲרוֹן 
האנזים אנזים 
שרמתו רָמָה 
עולה עָלָה 
בדם דם 
בעיקר בעיקר 
בסיסי בְּסִיסִי 
Alkaline Alkaline 
phosphatase phosphatase 

ALT ALT 
מוגברות מֻגְבָּר 
במידה מִדָּה 
קלה קַל 
בערך ערך 
פי פֶּה 
מהנורמה נורמה 

צורך צֹרֶךְ 
לחזור חָזַר 
הבדיקה בְּדִיקָה 
ולראות רָאָה 
קיים קִיֵּם 
שיפור שִׁפּוּר 
החמרה הַחְמָרָה חַמְרָה 
למדוד מָדַד 
רמות רָמָה 
שאר שְׁאֵר 
אנזימי אנזים 
הכבד כָּבֵד 
תפקודי תִּפְקוּד 
הקרישה קרישה 
המבטאים בִּטֵּא 
תפקוד תִּפְקוּד 
הכבד כָּבֵד 

במידה מִדָּה 
וההפרעה הַפְרָעָה 
ממשיכה הִמְשִׁיךְ 
לחפש חִפֵּשׂ 
סיבתה סִבָּה 

ייתכן יִתָּכֵן 
ומדובר דֻּבַּר 
בסיבה סִבָּה 
קשורה קָשׁוּר 
למחלת מַחֲלָה 
המעי מְעִי 
זיהום זִהוּם 
בדלקת דְּלֵקָה דַּלֶּקֶת הַדְלָקָה 
נגיפית נְגִיפִי 
הכבד כָּבֵד 
וייתכן יִתָּכֵן 
ומדובר דֻּבַּר 
בתופעת תּוֹפָעָה 
לוואי לוואי 
תרופות תְּרוּפָה 
צריכת צְרִיכָה 
אלכוהול אַלְכּוֹהוֹל 

מומלץ הֻמְלַץ 
להמשיך הִמְשִׁיךְ 
מעקב מעקב 
הרופא רוֹפֵא 
המטפל טִפֵּל 
ובמידת מִדָּה 
הצורך צֹרֶךְ 
לפנות פִּנָּה פָּנָה 
לרופא רוֹפֵא 

EXPERT EXPERT 

