שאלה שְׁאֵלָה 
ברצוני רָצוֹן 
להבין הֵבִין 
הכולסטרול כּוֹלֶסְטֶרוֹל 
תקין תַּקִּין 

לדעת דֵּעָה דַּעַת 
רופאת רוֹפֵא 
המשפחה מִשְׁפָּחָה 
מצבו מַצָּב 
מצריך הִצְרִיךְ 

ברצוני רָצוֹן 
להבין הֵבִין 
הכולסטרול כּוֹלֶסְטֶרוֹל 
תקין תַּקִּין 

לדעת דֵּעָה דַּעַת 
רופאת רוֹפֵא 
המשפחה מִשְׁפָּחָה 
מצבו מַצָּב 
מצריך הִצְרִיךְ 
טיפול טִפּוּל 

כולסטרול כּוֹלֶסְטֶרוֹל 
כולסטרול כּוֹלֶסְטֶרוֹל 

HDL HDL 
כולסטרול כּוֹלֶסְטֶרוֹל 
LDL LDL 
CAIC CAIC 

EXPERT EXPERT 
ה ה 
HDL HDL 
נמוך נָמוּךְ 
מעט מְעַט 
טוב טוֹב 
מעל מעל 
LDL LDL 
מעט מְעַט 
גבוה גָּבוֹהַּ 
טוב טוֹב 
נמוך נָמוּךְ 

נחיצות נחיצות 
בטיפול טִפּוּל 
מדובר דֻּבַּר 
באדם אדם 
מחלת מַחֲלָה 
לב לֵב 
מחלת מַחֲלָה 
כלי כְּלִי 
דם דם 
אחרת אַחֵר 
גורמי גּוֹרֵם 
סיכון סִכּוּן 
רבים רַב 
למחלת מַחֲלָה 
לב לֵב 
סיפור סיפור 
משפחתי מִשְׁפַּחְתִּי 
עישון עִשּׁוּן 
יתר יֶתֶר 
לחץ לַחַץ 
דם דם 
סוכרת סֻכֶּרֶת 
לשאוף שָׁאַף 
לרמת הֲרָמָה רָמָה 
כולסטרול כּוֹלֶסְטֶרוֹל 
נמוכה נָמוּךְ 
mg/dL mg/dL 

צורך צֹרֶךְ 
בטיפול טִפּוּל 
לשמור שָׁמַר 
תזונה תְּזוּנָה 
דלת דֶּלֶת 
כולסטרול כּוֹלֶסְטֶרוֹל 
ולבצע בִּצֵּעַ 
פעילות פְּעִילוּת פָּעִיל 
גופנית גּוּפָנִי 
סדירה סָדִיר 

EXPERT EXPERT 

