שאלה שְׁאֵלָה 
מידע מֵידָע 
דפוסי דְּפוּס 
השינה שֵׁנָה 

תדירות תְּדִירוּת 
תקינה תַּקִּין 
התעוררויות הִתְעוֹרְרוּת 
בשעות שָׁעָה 
הלילה לַיְלָה 

EXPERT EXPERT 

שינה שֵׁנָה 
מצב מַצָּב 
חוסר חֹסֶר 
הכרה הַכָּרָה 
טבעי טִבְעִי 
לזהות זִהָה 
הפעילות פְּעִילוּת פָּעִיל 
המוחית מוחי 
המתרחשת הִתְרַחֵשׁ 
במהלך מַהֲלָךְ 
השינה שֵׁנָה 
EEG EEG 

שלבים שָׁלָב 
שונים שׁוֹנֶה 
בשינה שֵׁנָה 
מראים הֶרְאָה 
דפוסי דְּפוּס 
גלים גַּל 
שונים שׁוֹנֶה 
EEG EEG 

לנמנום נִמְנוּם 
דפוס דְּפוּס 
גלים גַּל 
קצרים קָצָר 
סדירים סָדִיר 
שהשינה שֵׁנָה 
מעמיקה הֶעְמִיק 
הגלים גַּל 
נעשים נַעֲשָׂה 
איטיים אִטִּי 
יותר יוֹתֵר 
ארוכים אָרֹךְ 
יותר יוֹתֵר 
ופחות פָּחוֹת 
סדירים סָדִיר 

שינה שֵׁנָה 
מופרעת מֻפְרָע 
מדי מִדַּי 
פעם פַּעַם 
ידי יָד 
אפיזודות אֶפִּיזוֹדָה 
תנועות תְּנועָה 
עיניים עין 
מהירות מָהִיר 
Rapid Rapid 
Eye Eye 
Movement Movement 
REM REM 
דפוס דְּפוּס 
EEG EEG 
המתקבל הִתְקַבֵּל 
דומה דּוֹמֶה 
אדם אדם 
ער עֵר 
וערני עֵרָנִי 

החלומות חֲלוֹם 
מופיעים הוֹפִיעַ 
בשינה שֵׁנָה 
המאופיינת אֻפְיַן 
REM REM 

מצבים מַצָּב 
מתחלפים הִתְחַלֵּף 
במחזורים מִחְזוּר מַחְזוֹר 
שנמשכים נִמְשַׁךְ 
דקות דַּקָּה דַּקּוּת 

שלב שָׁלָב 
REM REM 
מהווה הִוָּה 
הזמן זְמַן 
הכולל כָּלַל 
השינה שֵׁנָה 

בדרך דֶּרֶךְ 
כלל כְּלָל 
להתעורר הִתְעוֹרֵר 
במהלך מַהֲלָךְ 
הלילה לַיְלָה 
הפרעות הַפְרָעָה פְּרָעוֹת 
שינה שֵׁנָה 
הפרעות הַפְרָעָה פְּרָעוֹת 
סביבתיות סביבתי 
הלאה הָלְאָה 

מתעורר הִתְעוֹרֵר 
לעיתים לְעִתִּים 
קרובות קָרוֹב 
במהלך מַהֲלָךְ 
הלילה לַיְלָה 
מציעה הִצִּיעַ 
שתפנה הִפְנָה פִּנָּה פָּנָה 
לרופא רוֹפֵא 
המטפל מְטַפֵּל 
ותתייעץ הִתְיַעֵץ 
לך הָלַךְ 
לעבור עָבַר 
בדיקת בְּדִיקָה 
שינה שֵׁנָה 

לעוד עוּד 
מידע מֵידָע 


EXPERT EXPERT 

