שאלה שְׁאֵלָה 
חשד חֲשָׁד 
לחסר חֶסֶר 
באנזים אנזים 
G6PD G6PD 

באמצע באמצע 
הלילה הלילה 
חשתי חָשׁ 
בחילות בְּחִילָה 
סחרחורות סְחַרְחֹרֶת 
וכאבי כְּאֵב 
ראש רֹאשׁ 
ורעדתי רָעַד 
מקור מַקּוֹר מָקוֹר 

הסיבה סִבָּה 

אתמול אֶתְמוֹל 
בלילה לַיְלָה 
אכלתי אִכֵּל אָכַל 
פולים פּוֹל 
גדולים גָּדוֹל 
מרים מַר 

הסיבה סִבָּה 

EXPERT EXPERT 

עברת עִבְרֵת עִבֵּר עָבַר 
בדיקה בְּדִיקָה 
G6PD G6PD 

ידועה יָדוּעַ 
רגישות רְגִישׁוּת 
למשהו מַשֶּׁהוּ 

סובל סָבַל 
משלשולים שִׁלְשׁוּל 

ברור בָּרוּר 
התחושות תְּחוּשָׁה 
קשורות קָשׁוּר 
שאכלת אִכֵּל אָכַל 
שייתכן יִתָּכֵן 
בהחלט בְּהֶחְלֵט 
שכן שָׁכֵן 

שהפול פּוֹל 
מקולקל קֻלְקַל 
לך הָלַךְ 
חסר חֶסֶר 
באנזים אנזים 
G6PD G6PD 
הופיעה הוֹפִיעַ 
התגובה תְּגוּבָה 

התחושות תְּחוּשָׁה 
חולפות חוֹלֵף 
פנה פִּנָּה פָּנָה 
לבדיקת בְּדִיקָה 
רופא רוֹפֵא 

נעמה נָעַם 

EXPERT EXPERT 

