שאלה שְׁאֵלָה 
בחירת בְּחִירָה בָּחִיר 
סוג סוּג 
מתאים מַתְאִים 
גלולות גְּלוּלָה 
למניעת מְנִיעָה 
הריון הֵרָיוֹן 

הרופא רוֹפֵא 
נתן נִתַּן נָתַן 
מרשם מִרְשָׁם 
גלולת גְּלוּלָה 
Ortho Ortho 
Cyclen Cyclen 

הגלולה גְּלוּלָה 
לוקחת לָקַח 
בחיים חַיִּים 

רוצה רָצָה רֻצָּה 
לדעת יָדַע 
יותר יוֹתֵר 
תופעות תּוֹפָעָה 
הלוואי לוואי 

משמינה הִשְׁמִין 

טובה טוֹב 
בכלל בִּכְלָל 

שמעתי שָׁמַע 
גלולות גְּלוּלָה 
יותר יוֹתֵר 
נפוצות נָפוֹץ 
הגלולה גְּלוּלָה 
הסגולה סֶגוֹל 

אולי אוּלַי 
לקחת לָקַח 
אורתו אָרָה 
שאינה אִנָּה 
כה כה 
נפוצה נָפוֹץ 

EXPERT EXPERT 

הגלולות גְּלוּלָה 
למניעת מְנִיעָה 
הריון הֵרָיוֹן 
מכילות הֵכִיל כִּיֵּל 
חומרים חומר 
כימיים כִימִי 
במינונים מִנּוּן 
שונים שׁוֹנֶה 

תופעות תּוֹפָעָה 
לוואי לוואי 
מאוד מְאוֹד 
דומות דּוֹמֶה 

אורתו אָרָה 
גלולה גְּלוּלָה 
מינון מִנּוּן 
גבוה גָּבוֹהַּ 
הורמונים הורמון 
מאוד מְאוֹד 
שלרופא רוֹפֵא 
סיבה סִבָּה 
לרשום רָשַׁם 
לך הָלַךְ 
מינון מִנּוּן 

סובלת סָבַל 
מפצעים פֶּצַע 
בפנים פְּנִים פֶּנִי פָּן פָּנִים 

שיעור שיעור 
יתר יֶתֶר 

מחזורים מִחְזוּר מַחְזוֹר 
סדירים סָדִיר 

בדף דַּף הֶדֶף 
הבא בָּא 
לקרוא קָרָא 
סוגי סוּג 
הגלולות גְּלוּלָה 


EXPERT EXPERT 

