שאלה שְׁאֵלָה 
המהלך מַהֲלָךְ 
מחלת מַחֲלָה 

מחלימים הֶחְלִים 

מחלה מַחֲלָה 
שמחמירה הֶחֱמִיר 
השנים שָׁנָה 

מדוע מדוע 
הרבה הַרְבֵּה 
מהחולים חוֹלֶה 
לוקחים לָקַח 
תרופות תְּרוּפָה 
ועדיין עֲדַיִן 
סובלים סָבַל 

זוגי זוּגִי 
חולה חוֹלֶה 
מאוד מְאוֹד 
ואושפז אֻשְׁפַּז 
פעמיים פַּעֲמַיִם 
במהלך מַהֲלָךְ 
שנים שָׁנָה 

סוף סוֹף סוּף 

EXPERT EXPERT 

מחלה מַחֲלָה 
הרבה הַרְבֵּה 
מאד מְאוֹד 
דרגות דַּרְגָּה 
חומרה חָמְרָה חֻמְרָה 
ודרי דָּר 
ביטוי בִּטּוּי 
שונות שׁוֹנֶה 

להתייחס הִתְיַחֵס 
מקרה מִקְרֶה 
שאובחן אֻבְחַן הֻבְחַן 
לגופו גּוּף 
וקשה קָשֶׁה 
מאד מְאוֹד 
לתת נָתַן 
תשובות תְּשׁוּבָה 
כלליות כְּלָלִי 
מדויקות מְדֻיָּק 

באופן אֹפֶן אוֹפַן 
כללי כְּלָלִי 
מחלה מַחֲלָה 
החלמה הַחְלָמָה 
מלאה מַלְאֶה מָלֵא 
בדומה בדומה 
למחלה מַחֲלָה 
סוכרת סֻכֶּרֶת 
מתחום תְּחוּם 
המחלות מַחֲלָה 
הגופניות גּוּפָנִי 

המשמעות מַשְׁמָעוּת 
שהאדם אדם 
אינו אִנָּה 
תמיד תמיד 
סובל סָבַל 
מסימנים סִימָן 
גלויים גָּלוּי 
המחלה מַחֲלָה 
שצפויות צָפוּי 
תקופות תְּקוּפָה 
שקט שֶׁקֶט 
לתפקד תִּפְקֵד 
ולחיות חִיָּה חַי 
חייו חַיִּים 
אשפוזים אִשְׁפּוּז 

להמשיך הִמְשִׁיךְ 
באופן אֹפֶן אוֹפַן 
רציף רָצִיף 
טיפול טִפּוּל 
חולי חֹלִי 
סוכרת סֻכֶּרֶת 
טיפול טִפּוּל 
רוב רֹב 
הסיכויים סִכּוּי 
שתחול חָל 
החמרה הַחְמָרָה חַמְרָה 
נוספת נוֹסָף 

שוב שׁוּב 
בסוכרת סֻכֶּרֶת 
נזקים נזק 
מצטברים הִצְטַבֵּר 
מתפתחים הִתְפַּתַּח 
לאט לְאַט 
לאורך אֹרֶךְ 
שנים שָׁנָה 

השימוש שימוש 
הרציף רָצִיף 
בתרופות תְּרוּפָה 
והשמירה שְׁמִירָה 
עקביות עִקְבִיּוּת 
במסגרת מסגרת 
הטיפול טִפּוּל 
מעכבים עִכֵּב 
היווצרותו היווצרות 
הנזק נזק 
המצטבר הִצְטַבֵּר 
באופן אֹפֶן אוֹפַן 
מאד מְאוֹד 
משמעותי מַשְׁמָעוּתִי 

לצערנו צַעַר 
שקיים קִיֵּם 
מגוון מִגְוָן 
תכשירים תַּכְשִׁיר 
תרופתיים תְּרוּפָתִי 
לטיפול טִפּוּל 
לעיתים לְעִתִּים 
נדרשת נִדְרַשׁ 
תקופה תְּקוּפָה 
ממושכת מְמֻשָּׁךְ 
ניסיונות נִסָּיוֹן 
תרופות תְּרוּפָה 
שונות שׁוֹנֶה 
שנמצא מָצָא נִמְצָא 
הטיפול טִפּוּל 
המתאים מַתְאִים 
ביותר בְּיוֹתֵר 
למטופל מְטֻפָּל 
המסוים מְסֻיָּם 

לפעמים לִפְעָמִים 
מביא הֵבִיא 
לתחושה תְּחוּשָׁה 
החולה חוֹלֶה 
בני בֵּן 
משפחתו מִשְׁפָּחָה 
נוטל הוטל נָטַל 
תרופות תְּרוּפָה 
עוזר עָזַר 

במקרים מִקְרֶה מֵקַר 
להתאזר התאזר 
בסבלנות סַבְלָנוּת 
ולשתף שִׁתֵּף 
פעולה פְּעֻלָּה 
הצוות צֶוֶת 
המטפל טִפֵּל 
שיימצא נִמְצָא 
הטיפול טִפּוּל 
המתאים מַתְאִים 
ביותר בְּיוֹתֵר 

לציין צִיֵּן 
שהטיפול טִפּוּל 
מתמצה הִתְמַצָּה 
בתרופות תְּרוּפָה 
בלבד בִּלְבַד 
כולל כָּלַל 
בדרך דֶּרֶךְ 
כלל כְּלָל 
שינויים שִׁנּוּי 
באורח אֹרַח אוֹרֵחַ 
החיים חַיִּים 
בסוג סוּג 
במקום מָקוֹם 
התעסוקה תַּעֲסוּקָה 
להימנע נִמְנַע 
מעומס עֹמֶס 
יתר יֶתֶר 
נפשי נַפְשִׁי 

השמירה שְׁמִירָה 
אורח אֹרַח אוֹרֵחַ 
חיים חַיִּים 
רגוע רָגוּעַ 
יחסית יַחֲסִית 
שעות שָׁעָה 
שינה שֵׁנָה 
מסודרות מְסֻדָּר 
הימנעות הִמָּנְעוּת 
מסמים סַם 
ואלכוהול אַלְכּוֹהוֹל 
מסגרת מסגרת 
תעסוקתית תעסוקתי 
מאד מְאוֹד 
חשובה חָשׁוּב 
למניעת מְנִיעָה 
החמרות הַחְמָרָה 
במצב מַצָּב 


מגן מָגֵן 
פסיכיאטרית פְּסִיכִיאַטְרִי פסיכיאטר 

EXPERT EXPERT 

