שאלה שְׁאֵלָה 
ברצוני רָצוֹן 
לדעת יָדַע 
שימוש שימוש 
לאורך אֹרֶךְ 
זמן זְמַן 
באספירין אַסְפִּירִין 
לפגוע פָּגַע 
בשמיעה שְׁמִיעָה 

בנוסף בנוסף 
אבקש בִּקֵּשׁ 

ברצוני רָצוֹן 
לדעת יָדַע 
שימוש שימוש 
לאורך אֹרֶךְ 
זמן זְמַן 
באספירין אַסְפִּירִין 
לפגוע פָּגַע 
בשמיעה שְׁמִיעָה 

בנוסף בנוסף 
אבקש בִּקֵּשׁ 
חומר חומר 
בנוגע בנוגע 
לקשר הֶקְשֵׁר קֶשֶׁר קַשָּׁר 

EXPERT EXPERT 
אספירין אַסְפִּירִין 
במינון מִנּוּן 
גבוה גָּבוֹהַּ 
מאוד מְאוֹד 
הנלקח נִלְקַח 
לאורך אֹרֶךְ 
תקופה תְּקוּפָה 
ארוכה אָרֹךְ 
במנת מָנָה 
יתר יֶתֶר 
חד חַד 

פעמית פַּעֲמִי 
לגרום גָּרַם 
לצפצוף צִפְצוּף 
באוזניים אֹזֶן 
סחרחורת סְחַרְחֹרֶת 
וירידה יְרִידָה 
בשמיעה שְׁמִיעָה 
בטונים טוֹן 

גבוהים גָּבוֹהַּ 

התופעה תּוֹפָעָה 
הפיכה הפיך 

לפרטים פרט 

http http 

EXPERT EXPERT 

