שאלה שְׁאֵלָה 
שיטה שִׁיטָה 
המשתמשת הִשְׁתַּמֵּשׁ 
באמצעים אֶמְצַע אֶמְצָעִי 
טבעיים טִבְעִי 
מנת מָנָה 
לטפל טִפֵּל 
בחולה חוֹלֶה 
הכרה הַכָּרָה 

שיטה שִׁיטָה 
המשתמשת הִשְׁתַּמֵּשׁ 
באמצעים אֶמְצַע אֶמְצָעִי 
טבעיים טִבְעִי 
מנת מָנָה 
לטפל טִפֵּל 
בחולה חוֹלֶה 
הכרה הַכָּרָה 
במצבו מַצָּב 
הרגשי רגשי 
והפיזי פִיסִי 

עקרונות עִקָּרוֹן 
השיטה שִׁיטָה 

EXPERT EXPERT 
למנוע מָנַע 
נזק נזק 
מעדיפים הֶעֱדִיף 
טיפולים טִפּוּל 
מנת מָנָה 
לצמצם צִמְצֵם 
תופעות תּוֹפָעָה 
הלוואי לוואי 
לטיפול טִפּוּל 

למצוא מָצָא 
הגורם גּוֹרֵם 
למחלה מַחֲלָה 
להסתפק הִסְתַּפֵּק 
בטיפול טִפּוּל 
בתסמינים תסמין 
מחלה מַחֲלָה 
סיבה סִבָּה 
שפעמים פַּעַם 
רבות רַב 
קשורה קָשׁוּר 
לסגנון סִגְנוֹן סִגְנוּן 
החיים חַיִּים 
התזונה תְּזוּנָה 
הסביבה סְבִיבָה 
חיים חַי 

להשתמש הִשְׁתַּמֵּשׁ 
בכוח כֹּחַ 
המרפא מְרַפֵּא 
הטבע טֶבַע 
בגופנו גּוֹפָן גּוּף 
קיימים קַיָּם 
מנגנוני מַנְגָּנוֹן 
ריפוי רִפּוּי 
רבי רַבִּי 
עוצמה עָצְמָה 
השומרים שָׁמַר 
בריאותנו בְּרִיאוּת 

מנגנונים מַנְגָּנוֹן 
נשחקים נִשְׁחַק 
והאדם אדם 
נעשה נַעֲשָׂה עָשָׂה 
חולה חוֹלֶה 
תפקיד תַפְקִיד 
להחזיר הֶחְזִיר 
האיזון אִזּוּן 
הטבעי טִבְעִי 
לגוף גּוּף 
באמצעים אֶמְצַע אֶמְצָעִי 
הרמוניים הרמוני 
האפשר הָאֶפְשָׁר 
התהליכים תַּהֲלִיךְ 
הטבעיים טִבְעִי 
הגוף גּוּף 

לטפל טִפֵּל 
באדם אדם 
השלם שָׁלֵם 
מטפלת טִפֵּל 
באדם אדם 
הכרה הַכָּרָה 
במכלול מִכְלוֹל 
הגורמים גּוֹרֵם 
המשחקים מִשְׂחָק 
תפקיד תַפְקִיד 
בבריאות בְּרִיאָה בְּרִיאוּת 
וחולי חֹלִי 
המצב מַצָּב 
הפיזי פִיסִי 
הרגשי רגשי 
הרוחני רוּחָנִי 
תזונה תְּזוּנָה 
סביבה סְבִיבָה 
תורשה תּוֹרָשָׁה 
סגנון סִגְנוֹן סִגְנוּן 
חיים חַיִּים 
ועוד עוֹד 

רפואה רְפוּאָה 
מונעת מוֹנֵעַ מוּנָע 
הגישה גישה 
מלמדת לִמֵּד 
החולה חוֹלֶה 
עקרונות עִקָּרוֹן 
לחיים חַיִּים 
בריאים בָּרִיא 
באופן אֹפֶן אוֹפַן 
שיעזור עָזַר 
למנוע מָנַע 
מחלות מַחֲלָה 
בעתיד עָתִיד 

מנת מָנָה 
ליישם יִשֵּׂם 
עקרונות עִקָּרוֹן 
רפואה רְפוּאָה 
משלבת שִׁלֵּב 
מספר מִסְפָּר 
טכניקות טֶכְנִיקָה 
טיפוליות טיפולי 
רפואה רְפוּאָה 
צמחית צִמְחִי 
ועשבי עֵשֶׂב 
מרפא מְרַפֵּא 
תזונה תְּזוּנָה 
תרגול תרגול 
גופני גּוּפָנִי 
טכניקות טֶכְנִיקָה 
עיסוי עיסוי 
ייעוץ יִעוּץ 
לאורח אֹרַח אוֹרֵחַ 
חיים חַיִּים 
בריא בָּרִיא 
וייעוץ יִעוּץ 
נפשי נַפְשִׁי 

השם שם 
הוטבע הוטבע 
לראשונה לָרִאשׁוֹנָה 
למעשה לְמַעֲשֶׂה 
סוג סוּג 
רפואה רְפוּאָה 
נהוג נָהוּג 
שנים שָׁנָה 
כן כַּן 

לרפואה רְפוּאָה 
שנה יָשַׁן שִׁנָּה שָׁנָה 
לימדו לִמֵּד 
שיטות שִׁיטָה 
טיפול טִפּוּל 
בצמחים צֶמַח 
תזונה תְּזוּנָה 
במקביל במקביל 
לשימוש שימוש 
בתרופות תְּרוּפָה 
וניתוחים נִיתּוחַ 

בהדרגה בְּהַדְרָגָה 
הרפואה רְפוּאָה 
הגיעה הִגִּיעַ 
היום הַיּוֹם 
התרופות תְּרוּפָה 
והטיפולים טִפּוּל 
נהיו נִהְיָה 
יעילים יָעִיל 
יותר יוֹתֵר 
בעלי בְּעָלִים בַּעַל 
תופעות תּוֹפָעָה 
לוואי לוואי 
מרובות מְרֻבֶּה 
יותר יוֹתֵר 
ושיטת שִׁיטָה 
האבחנה אבחנה 
והטיפול טִפּוּל 
הרפואית רְפוּאִי 
נהייתה נִהְיָה 
ממוקדת מְמֻקָּד 
מאוד מְאוֹד 

רקע רֶקַע 
שבה שָׁב שָׁבָה 
והתעוררה הִתְעוֹרֵר 
התנועה תְּנועָה 
שכאמור אָמוּר 
מתאימה הִתְאִים 
הטיפול טִפּוּל 
לצרכיו צֹרֶךְ 
האישיים אִישִׁי 
חולה חוֹלֶה 
משתמשת הִשְׁתַּמֵּשׁ 
באמצעים אֶמְצַע אֶמְצָעִי 
טבעיים טִבְעִי 
והרמוניים הרמוני 
מנת מָנָה 
לעורר עוֹרֵר 
תהליך תַּהֲלִיךְ 
הריפוי רִפּוּי 
ומתייחסת הִתְיַחֵס 
לפן פֶן פָּן 
הרגשי רגשי 
הרוחני רוּחָנִי 
והתרבותי תַּרְבּוּתִי 
חולה חוֹלֶה 

לפרטים פרט 
נוספים נוֹסָף 

EXPERT EXPERT 

