שאלה שְׁאֵלָה 
איך איך 
מטפלים טִפֵּל 
בסרטן סַרְטָן 
הלבלב לַבְלַב 

איך איך 
מטפלים טִפֵּל 
בסרטן סַרְטָן 
הלבלב לַבְלַב 

EXPERT EXPERT 
מגוון מִגְוָן 
טיפולים טִפּוּל 
לסרטן סַרְטָן 
הלבלב לַבְלַב 
כולל כּוֹלֵל 
הסרה הֲסָרָה הסרה 
בניתוח נִיתּוחַ 
וטיפול טִפּוּל 
הקרנות הקרנה קֶרֶן 

משתמשת הִשְׁתַּמֵּשׁ 
בתרופות תְּרוּפָה 
לטפל טִפֵּל 
בסרטן סַרְטָן 
שטיפול טִפּוּל 
הקרנות הקרנה קֶרֶן 
משתמש הִשְׁתַּמֵּשׁ 
בקרני קֶרֶן 
וסוגי סוּג 
קרינה קְרִינָה 
אחרים אַחֵר 
להרוג הָרַג 
תאי תָּא 
סרטן סַרְטָן 

ניתוח נִיתּוחַ 
לשמש שִׁמֵּשׁ 
להסרת הֲסָרָה הסרה 
גידול גידול 
לטיפול טִפּוּל 
בתסמינים תסמין 
סרטן סַרְטָן 
הלבלב לַבְלַב 

EXPERT EXPERT 

