שאלה שְׁאֵלָה 
מטופלת טֻפַּל 
כבר כְּבָר 
חודשים חֹדֶשׁ 
הפסקה הפסקה 
באמצע אֶמְצַע 
כחודש חֹדֶשׁ 

רציתי רָצָה 
לדעת יָדַע 
אי אי 

מטופלת טֻפַּל 
כבר כְּבָר 
חודשים חֹדֶשׁ 
הפסקה הפסקה 
באמצע אֶמְצַע 
כחודש חֹדֶשׁ 

רציתי רָצָה 
לדעת יָדַע 
לקבוע קָבַע 
התרופה תְּרוּפָה 
עוזרת עָזַר 

יודעת יָדַע יודע 
מרגישה הִרְגִּישׁ 
שיפור שִׁפּוּר 

EXPERT EXPERT 

השיפור שִׁפּוּר 
להופיע הוֹפִיעַ 
מספר מִסְפָּר 
שבועות שְׁבוּעָה שָׁבוּעַ 
בהתאם בהתאם 
לתסמינים תסמין 
שקדמו קִדֵּם קדם 
לנטילת נְטִילָה 
התרופה תְּרוּפָה 

התרופה תְּרוּפָה 
נלקחה נִלְקַח 
דיכאון דִּכָּאוֹן 
שקודם קֹדֶם 
שיפור שִׁפּוּר 
בתיאבון תֵּאָבוֹן 
במידת מִדָּה 
החיוניות חיוניות 
בריכוז רִכּוּז 
שיפור שִׁפּוּר 
במצב מַצָּב 
הרוח רוּחַ 

מציעה הִצִּיעַ 
להתייעץ הִתְיַעֵץ 
המטפלים מְטַפֵּל 
התגובה תְּגוּבָה 
מספקת סִפֵּק 
שיפור שִׁפּוּר 
לשנות שִׁנָּה שָׁנָה 
משהו מַשֶּׁהוּ 
להוסיף הוֹסִיף 
במינון מִנּוּן 

EXPERT EXPERT 

